task_id,sample_id,category,model_a,model_b,completed,current_ratings,judges,choices,model_a_wins,model_b_wins,ties
36,animals_and_ecology_015_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
37,animals_and_ecology_015_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
38,animals_and_ecology_015_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
39,animals_and_ecology_016_single,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
40,animals_and_ecology_016_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
41,animals_and_ecology_016_single,animals_and_ecology,videocrafter,vidu,0,0,,,0,0,0
42,animals_and_ecology_017_single,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
43,animals_and_ecology_020_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
44,animals_and_ecology_021_single,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
45,animals_and_ecology_021_single,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
46,animals_and_ecology_021_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
47,animals_and_ecology_021_single,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
48,animals_and_ecology_021_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
49,animals_and_ecology_021_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
50,animals_and_ecology_022_single,animals_and_ecology,jimeng,videocrafter,0,0,,,0,0,0
51,animals_and_ecology_022_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
52,animals_and_ecology_022_single,animals_and_ecology,videocrafter,vidu,0,0,,,0,0,0
53,animals_and_ecology_023_multi,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
54,animals_and_ecology_025_multi,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
55,animals_and_ecology_025_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
56,animals_and_ecology_025_multi,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
57,animals_and_ecology_025_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
58,animals_and_ecology_025_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
59,animals_and_ecology_025_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
60,animals_and_ecology_027_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
61,animals_and_ecology_027_multi,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
62,animals_and_ecology_027_multi,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
63,animals_and_ecology_028_single,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
64,animals_and_ecology_028_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
65,animals_and_ecology_028_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
66,animals_and_ecology_029_multi,animals_and_ecology,kling,sora2,0,0,,,0,0,0
67,animals_and_ecology_029_multi,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
68,animals_and_ecology_029_multi,animals_and_ecology,sora2,videocrafter,0,0,,,0,0,0
69,animals_and_ecology_031_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
70,animals_and_ecology_031_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
71,animals_and_ecology_031_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
72,animals_and_ecology_033_single,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
73,animals_and_ecology_033_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
74,animals_and_ecology_033_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
75,animals_and_ecology_033_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
76,animals_and_ecology_033_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
77,animals_and_ecology_033_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
78,animals_and_ecology_036_multi,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
79,animals_and_ecology_036_multi,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
80,animals_and_ecology_036_multi,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
81,animals_and_ecology_036_multi,animals_and_ecology,jimeng,kling,0,0,,,0,0,0
82,animals_and_ecology_036_multi,animals_and_ecology,jimeng,videocrafter,0,0,,,0,0,0
83,animals_and_ecology_036_multi,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
84,animals_and_ecology_037_multi,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
85,animals_and_ecology_037_multi,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
86,animals_and_ecology_037_multi,animals_and_ecology,kling,sora2,0,0,,,0,0,0
87,animals_and_ecology_039_multi,animals_and_ecology,jimeng,kling,0,0,,,0,0,0
88,animals_and_ecology_039_multi,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
89,animals_and_ecology_039_multi,animals_and_ecology,kling,vidu,0,0,,,0,0,0
90,animals_and_ecology_039_single,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
91,animals_and_ecology_039_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
92,animals_and_ecology_039_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
93,animals_and_ecology_041_multi,animals_and_ecology,kling,vidu,0,0,,,0,0,0
94,animals_and_ecology_041_multi,animals_and_ecology,kling,wan21,0,0,,,0,0,0
95,animals_and_ecology_041_multi,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
96,animals_and_ecology_041_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
97,animals_and_ecology_042_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
98,animals_and_ecology_043_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
99,animals_and_ecology_045_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
100,animals_and_ecology_046_single,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
101,animals_and_ecology_046_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
102,animals_and_ecology_046_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
103,animals_and_ecology_046_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
104,animals_and_ecology_046_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
105,animals_and_ecology_046_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
106,animals_and_ecology_047_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
107,animals_and_ecology_047_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
108,animals_and_ecology_047_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
109,animals_and_ecology_047_single,animals_and_ecology,jimeng,kling,0,0,,,0,0,0
110,animals_and_ecology_047_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
111,animals_and_ecology_047_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
112,animals_and_ecology_048_multi,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
113,animals_and_ecology_048_multi,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
114,animals_and_ecology_048_multi,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
115,animals_and_ecology_048_multi,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
116,animals_and_ecology_048_multi,animals_and_ecology,kling,wan21,0,0,,,0,0,0
117,animals_and_ecology_048_multi,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
118,animals_and_ecology_049_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
119,animals_and_ecology_052_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
120,animals_and_ecology_052_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
121,animals_and_ecology_052_multi,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
122,animals_and_ecology_052_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
123,animals_and_ecology_052_multi,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
124,animals_and_ecology_052_multi,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
125,animals_and_ecology_052_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
126,animals_and_ecology_053_multi,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
127,animals_and_ecology_053_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
128,animals_and_ecology_053_multi,animals_and_ecology,videocrafter,vidu,0,0,,,0,0,0
129,animals_and_ecology_053_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
130,animals_and_ecology_054_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
131,animals_and_ecology_058_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
132,animals_and_ecology_059_multi,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
133,animals_and_ecology_059_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
134,animals_and_ecology_059_multi,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
135,animals_and_ecology_059_multi,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
136,animals_and_ecology_059_multi,animals_and_ecology,jimeng,wan21,0,0,,,0,0,0
137,animals_and_ecology_059_multi,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
138,animals_and_ecology_060_single,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
139,animals_and_ecology_060_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
140,animals_and_ecology_060_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
141,animals_and_ecology_060_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
142,animals_and_ecology_060_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
143,animals_and_ecology_060_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
144,animals_and_ecology_060_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
145,animals_and_ecology_060_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
146,animals_and_ecology_060_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
147,animals_and_ecology_060_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
148,animals_and_ecology_062_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
149,animals_and_ecology_062_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
150,animals_and_ecology_062_multi,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
151,animals_and_ecology_062_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
152,animals_and_ecology_065_single,animals_and_ecology,jimeng,sora2,0,0,,,0,0,0
153,animals_and_ecology_065_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
154,animals_and_ecology_065_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
155,animals_and_ecology_066_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
156,animals_and_ecology_066_multi,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
157,animals_and_ecology_066_multi,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
158,animals_and_ecology_068_multi,animals_and_ecology,jimeng,kling,0,0,,,0,0,0
159,animals_and_ecology_068_multi,animals_and_ecology,jimeng,wan21,0,0,,,0,0,0
160,animals_and_ecology_068_multi,animals_and_ecology,kling,wan21,0,0,,,0,0,0
161,animals_and_ecology_068_single,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
162,animals_and_ecology_068_single,animals_and_ecology,cogfun,jimeng,0,0,,,0,0,0
163,animals_and_ecology_068_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
164,animals_and_ecology_068_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
165,animals_and_ecology_068_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
166,animals_and_ecology_068_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
167,animals_and_ecology_070_multi,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
168,animals_and_ecology_070_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
169,animals_and_ecology_072_multi,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
170,animals_and_ecology_072_multi,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
171,animals_and_ecology_072_multi,animals_and_ecology,videocrafter,vidu,0,0,,,0,0,0
172,animals_and_ecology_073_single,animals_and_ecology,jimeng,sora2,0,0,,,0,0,0
173,animals_and_ecology_074_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
174,animals_and_ecology_074_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
175,animals_and_ecology_074_single,animals_and_ecology,jimeng,wan21,0,0,,,0,0,0
176,animals_and_ecology_077_multi,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
177,animals_and_ecology_077_multi,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
178,animals_and_ecology_077_multi,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
179,animals_and_ecology_077_multi,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
180,animals_and_ecology_077_multi,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
181,animals_and_ecology_077_multi,animals_and_ecology,sora2,videocrafter,0,0,,,0,0,0
182,animals_and_ecology_079_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
183,animals_and_ecology_081_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
184,animals_and_ecology_081_single,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
185,animals_and_ecology_081_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
186,animals_and_ecology_081_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
187,animals_and_ecology_081_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
188,animals_and_ecology_081_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
189,animals_and_ecology_082_single,animals_and_ecology,cogfun,kling,0,0,,,0,0,0
190,animals_and_ecology_082_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
191,animals_and_ecology_082_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
192,animals_and_ecology_084_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
193,animals_and_ecology_093_single,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
194,animals_and_ecology_094_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
195,animals_and_ecology_094_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
196,animals_and_ecology_094_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
197,animals_and_ecology_095_single,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
198,animals_and_ecology_095_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
199,animals_and_ecology_095_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
200,animals_and_ecology_096_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
201,animals_and_ecology_100_single,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
202,animals_and_ecology_100_single,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
203,animals_and_ecology_100_single,animals_and_ecology,sora2,videocrafter,0,0,,,0,0,0
204,animals_and_ecology_101_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
205,animals_and_ecology_102_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
206,animals_and_ecology_110_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
207,animals_and_ecology_112_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
208,animals_and_ecology_113_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
209,animals_and_ecology_113_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
210,animals_and_ecology_113_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
211,animals_and_ecology_117_single,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
212,animals_and_ecology_119_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
213,animals_and_ecology_119_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
214,animals_and_ecology_119_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
215,animals_and_ecology_121_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
216,animals_and_ecology_125_single,animals_and_ecology,jimeng,kling,0,0,,,0,0,0
217,animals_and_ecology_125_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
218,animals_and_ecology_125_single,animals_and_ecology,jimeng,wan21,0,0,,,0,0,0
219,animals_and_ecology_125_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
220,animals_and_ecology_125_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
221,animals_and_ecology_125_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
222,animals_and_ecology_126_single,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
223,animals_and_ecology_126_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
224,animals_and_ecology_126_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
225,animals_and_ecology_127_single,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
226,animals_and_ecology_127_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
227,animals_and_ecology_127_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
228,animals_and_ecology_128_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
229,animals_and_ecology_129_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
230,animals_and_ecology_129_single,animals_and_ecology,cogvideo5b,sora2,0,0,,,0,0,0
231,animals_and_ecology_129_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
232,animals_and_ecology_131_single,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
233,animals_and_ecology_131_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
234,animals_and_ecology_131_single,animals_and_ecology,videocrafter,vidu,0,0,,,0,0,0
235,animals_and_ecology_133_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
236,animals_and_ecology_133_single,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
237,animals_and_ecology_133_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
238,animals_and_ecology_133_single,animals_and_ecology,sora2,videocrafter,0,0,,,0,0,0
239,animals_and_ecology_133_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
240,animals_and_ecology_133_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
241,animals_and_ecology_139_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
242,animals_and_ecology_140_single,animals_and_ecology,kling,sora2,0,0,,,0,0,0
243,animals_and_ecology_140_single,animals_and_ecology,kling,vidu,0,0,,,0,0,0
244,animals_and_ecology_140_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
245,animals_and_ecology_140_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
246,animals_and_ecology_140_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
247,animals_and_ecology_140_single,animals_and_ecology,vidu,wan21,0,0,,,0,0,0
248,animals_and_ecology_142_single,animals_and_ecology,sora2,wan21,0,0,,,0,0,0
249,animals_and_ecology_143_single,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
250,animals_and_ecology_143_single,animals_and_ecology,cogfun,wan21,0,0,,,0,0,0
251,animals_and_ecology_143_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
252,animals_and_ecology_144_single,animals_and_ecology,cogfun,sora2,0,0,,,0,0,0
253,animals_and_ecology_144_single,animals_and_ecology,cogfun,vidu,0,0,,,0,0,0
254,animals_and_ecology_144_single,animals_and_ecology,sora2,vidu,0,0,,,0,0,0
255,animals_and_ecology_146_single,animals_and_ecology,cogfun,cogvideo5b,0,0,,,0,0,0
256,animals_and_ecology_146_single,animals_and_ecology,cogfun,videocrafter,0,0,,,0,0,0
257,animals_and_ecology_146_single,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
258,animals_and_ecology_147_single,animals_and_ecology,cogvideo5b,jimeng,0,0,,,0,0,0
259,animals_and_ecology_147_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
260,animals_and_ecology_147_single,animals_and_ecology,jimeng,vidu,0,0,,,0,0,0
261,animals_and_ecology_148_single,animals_and_ecology,cogvideo5b,kling,0,0,,,0,0,0
262,animals_and_ecology_148_single,animals_and_ecology,cogvideo5b,videocrafter,0,0,,,0,0,0
263,animals_and_ecology_148_single,animals_and_ecology,cogvideo5b,wan21,0,0,,,0,0,0
264,animals_and_ecology_148_single,animals_and_ecology,kling,videocrafter,0,0,,,0,0,0
265,animals_and_ecology_148_single,animals_and_ecology,kling,wan21,0,0,,,0,0,0
266,animals_and_ecology_148_single,animals_and_ecology,videocrafter,wan21,0,0,,,0,0,0
267,animals_and_ecology_149_single,animals_and_ecology,cogvideo5b,vidu,0,0,,,0,0,0
268,architecture_001_single,architecture,videocrafter,wan21,0,0,,,0,0,0
269,architecture_003_multi,architecture,cogvideo5b,kling,0,0,,,0,0,0
270,architecture_003_multi,architecture,cogvideo5b,vidu,0,0,,,0,0,0
271,architecture_003_multi,architecture,kling,vidu,0,0,,,0,0,0
272,architecture_003_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
273,architecture_004_multi,architecture,cogfun,jimeng,0,0,,,0,0,0
274,architecture_004_multi,architecture,cogfun,vidu,0,0,,,0,0,0
275,architecture_004_multi,architecture,jimeng,vidu,0,0,,,0,0,0
276,architecture_005_multi,architecture,cogvideo5b,kling,0,0,,,0,0,0
277,architecture_005_multi,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
278,architecture_005_multi,architecture,kling,videocrafter,0,0,,,0,0,0
279,architecture_006_multi,architecture,cogvideo5b,wan21,0,0,,,0,0,0
280,architecture_006_single,architecture,cogvideo5b,vidu,0,0,,,0,0,0
281,architecture_007_multi,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
282,architecture_007_multi,architecture,cogfun,videocrafter,0,0,,,0,0,0
283,architecture_007_multi,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
284,architecture_007_single,architecture,kling,wan21,0,0,,,0,0,0
285,architecture_008_multi,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
286,architecture_010_single,architecture,cogfun,vidu,0,0,,,0,0,0
287,architecture_011_single,architecture,jimeng,kling,0,0,,,0,0,0
288,architecture_011_single,architecture,jimeng,vidu,0,0,,,0,0,0
289,architecture_011_single,architecture,kling,vidu,0,0,,,0,0,0
290,architecture_012_multi,architecture,cogfun,videocrafter,0,0,,,0,0,0
291,architecture_012_multi,architecture,cogfun,wan21,0,0,,,0,0,0
292,architecture_012_multi,architecture,videocrafter,wan21,0,0,,,0,0,0
293,architecture_012_single,architecture,videocrafter,vidu,0,0,,,0,0,0
294,architecture_013_single,architecture,cogfun,kling,0,0,,,0,0,0
295,architecture_013_single,architecture,cogfun,vidu,0,0,,,0,0,0
296,architecture_013_single,architecture,kling,vidu,0,0,,,0,0,0
297,architecture_014_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
298,architecture_014_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
299,architecture_014_single,architecture,videocrafter,wan21,0,0,,,0,0,0
300,architecture_016_single,architecture,cogfun,vidu,0,0,,,0,0,0
301,architecture_016_single,architecture,cogfun,wan21,0,0,,,0,0,0
302,architecture_016_single,architecture,vidu,wan21,0,0,,,0,0,0
303,architecture_017_single,architecture,cogvideo5b,jimeng,0,0,,,0,0,0
304,architecture_017_single,architecture,cogvideo5b,vidu,0,0,,,0,0,0
305,architecture_017_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
306,architecture_017_single,architecture,jimeng,vidu,0,0,,,0,0,0
307,architecture_017_single,architecture,jimeng,wan21,0,0,,,0,0,0
308,architecture_017_single,architecture,vidu,wan21,0,0,,,0,0,0
309,architecture_019_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
310,architecture_019_single,architecture,cogfun,sora2,0,0,,,0,0,0
